Giochi;Console;Anno_Uscita;Pubblicatore;Anno_Di_Gioco;Voto_Personale;Voto_Critica;Vendite_Globali
GTA San Andreas;PS2;2004;Rockstar Games;2009;9,6;9,8;27500
DBZ budokai tenkaichi 3;PS2;2007;Bandai Namco;2009;9;8,5;2230
DBZ Sagas;PS2;2005;Atari;2009;6,2;4;910
Prince Of Persia: I 2 Troni;PS2;2005;Ubisoft;2009;8;8,6;1500
Cars;PS2;2006;THQ;2009;7,2;7,5;8000
L'ERA GLACIALE 3: L'ALBA DEI DINOSAURI;PS2;2009;Activision;2009;6;6,2;170
WWE Smackdown vs Raw 2010;Xbox360;2009;THQ;2010;7;7,5;3500
Prototype 2;Xbox360;2012;Activision;2012;8,5;8,7;790
CrackDown;Xbox360;2007;Microsoft Game Studios;2010;7;8,6;1500
Asura's Wrath;Xbox360;2012;Capcom;2012;8;7,9;690
Left 4 Dead 2;Xbox360;2009;Valve Corporation;2010;8,8;8,8;3000
Dead Rising 2;Xbox360;2010;Capcom;2010;7,6;8;3200
Dante's Inferno;Xbox360;2010;Electronic Arts;2010;8;8;1920
Army of Two The Devil's Cartel;Xbox360;2013;Electronic Arts;2013;8;6,2;550
Kane & Lynch Dead Men;Xbox360;2007;Eidos Interactive;2011;7,2;7;1510
Tom Clancy's Splinter Cell: Conviction;Xbox360;2010;Ubisoft;2010;9,5;8,9;2100
Tom Clancy's Splinter Cell: Blacklist;Xbox360;2013;Ubisoft;2012;8,4;9;2320
Need for Speed Undercover;Xbox360;2008;Electronic Arts;2010;8;6,8;8900
Burnout Paradise;Xbox360;2008;Electronic Arts;2010;7;9;3300
Halo 3;Xbox360;2007;Microsoft Game Studios;2010;8,9;9;14500
Halo 4;Xbox360;2012;Microsoft Game Studios;2013;8;9,3;9960
Kinect Sport;Xbox360;2011;Microsoft Game Studios;2011;6,8;6,5;3000
Kinect Adventure;Xbox360;2010;Microsoft Game Studios;2010;6,9;5;24000
Just Dance 2015;Xbox360;2014;Ubisoft;2014;5;7;4000
Crysis 2;Xbox360;2011;Electronic Arts;2013;8;9;3430
Assassin's Creed;Xbox360;2007;Ubisoft;2014;7,9;8,4;11290
Assassin's Creed 2;Xbox360;2009;Ubisoft;2012;10;9,5;11410
Assassin's Creed Brotherhood;PC;2010;Ubisoft;2022;9,5;9,3;7200
Assassin's Creed Revelation;PC;2011;Ubisoft;2022;9;9,2;9210
Assassin's Creed 3;Xbox360;2012;Ubisoft;2012;8;8;13060
Assassin's Creed Black Flag;Xbox360;2013;Ubisoft;2013;8,5;9,2;13710
Assassin's Creed Unity;PS4;2014;Ubisoft;2015;9,5;8;10000
Assassin's Creed Origins;PS4;2017;Ubisoft;2017;8,6;8,5;10000
Minecraft;Xbox360;2011;Microsoft Game Studios;2012;10;9,6;300000
COD Black Ops 2;Xbox360;2012;Activision Blizzard;2013;9,7;9,2;31000
COD Black Ops 3;PS4;2015;Activision Blizzard;2015;7,6;8,4;26720
COD Ghost;Xbox360;2013;Activision Blizzard;2013;6,8;8;28800
COD Advanced Warfare;Xbox360;2014;Activision Blizzard;2014;5,7;7;21780
Ghost Recon Future Soldier;Xbox360;2012;Ubisoft;2012;7;8,6;2610
Sleeping Dogs;Xbox360;2012;Square Enix;2013;7,6;8,5;4273
Tekken 6;Xbox360;2009;Bandai Namco;2014;7,5;7,5;5980
GTA 4: Episodes from Liberty City;Xbox360;2009;Rockstar Games;2011;7;9;4780
GTA 5;Xbox360;2013;Rockstar Games;2013;10;10;195000
Ninja Blade;Xbox360;2009;FromSoftware;2011;7;5;332
FIFA 10;Xbox360;2009;Electronic Arts;2010;8,1;9,5;9560
FIFA 15;Xbox360;2014;Electronic Arts;2014;6,8;9;18030
Resident Evil 6;Xbox360;2012;Capcom;2012;7;8;11800
Just Dance 2014;Xbox360;2013;Ubisoft;2013;5,3;7,5;6900
Batman Arkham City;Xbox360;2011;Warner Bros. Interactive Entertainment;2012;9,2;8,7;12500
Batman Arkham Origins;Xbox360;2013;Warner Bros. Interactive Entertainment;2013;8,5;8,5;6471
G.I.JOE The Rise of Cobra;Xbox360;2009;Electronic Arts;2010;4,5;3,5;1090
Harry Potter and The  Deathly Hallows part 2;Xbox360;2011;Electronic Arts;2012;6;4,5;1310
Avatar The Game;Xbox360;2009;Ubisoft;2011;7,3;6,5;2700
The Amazing Spider-Man;Xbox360;2012;Activision;2012;6,8;7,8;1520
Spider-Man: Shattered Dimensions;Xbox360;2010;Activision;2012;7,9;7,5;1230
WWE 2k14;Xbox360;2013;2k Games;2013;6,4;7,8;2320
Alan Wake;Xbox360;2010;Microsoft Game Studios;2011;9;7,8;3200
Far Cry 4;Xbox360;2014;Ubisoft;2014;7,7;8;10000
Far Cry 3;Xbox360;2012;Ubisoft;2014;8,5;9;10000
